Age,Travel_Distance,Departure_Delay_in_Mins,Arrival_Delay_in_Mins,Seat_Comfort,Arrival_Time_Convenient,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding,Gender_Male,Customer_Type_Loyal Customer,Type_Travel_Personal Travel,Travel_Class_Eco,Seat_Class_Ordinary,Overall_Experience,ID
32.0,1703.0,0.0,0.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,6.0,5.0,3.0,2.0,5.0,4.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,99900034.0
37.0,90.0,0.0,0.0,1.0,6.0,1.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,99900035.0
35.0,531.0,17.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,99900036.0
43.0,867.0,0.0,0.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,99900037.0
47.0,3105.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,99900038.0
20.0,2451.0,0.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,99900039.0
30.0,2729.0,40.0,44.0,3.0,2.0,2.0,6.0,6.0,2.0,5.0,6.0,5.0,4.0,6.0,5.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,99900040.0
29.0,2771.0,23.0,16.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,99900041.0
49.0,1711.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99900042.0
42.0,240.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,99900043.0
58.0,331.0,0.0,1.0,3.0,6.0,2.0,4.0,2.0,5.0,2.0,5.0,5.0,2.0,4.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,99900044.0
18.0,3216.0,28.0,44.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,99900045.0
27.0,2236.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,99900046.0
54.0,1038.0,0.0,0.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,99900047.0
31.0,880.0,0.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,99900048.0
33.0,1167.0,0.0,0.0,4.0,1.0,3.0,6.0,6.0,3.0,6.0,6.0,2.0,4.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,99900049.0
48.0,1922.0,42.0,37.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,99900050.0
20.0,2017.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,99900051.0
43.0,2021.0,0.0,0.0,3.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,99900052.0
44.0,637.0,0.0,0.0,4.0,6.0,4.0,6.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,99900053.0
65.0,332.0,22.0,28.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,99900054.0
17.0,2554.0,0.0,7.0,6.0,6.0,6.0,3.0,6.0,4.0,4.0,6.0,3.0,6.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,99900055.0
48.0,605.0,0.0,0.0,4.0,3.0,3.0,3.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,99900056.0
45.0,1796.0,0.0,0.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,99900057.0
58.0,293.0,1.0,0.0,2.0,5.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,99900058.0
40.0,1712.0,0.0,0.0,5.0,5.0,5.0,3.0,6.0,5.0,2.0,6.0,4.0,4.0,5.0,4.0,5.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,99900059.0
48.0,1760.0,0.0,11.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,99900060.0
24.0,1595.0,15.0,0.0,2.0,6.0,2.0,6.0,4.0,2.0,4.0,4.0,6.0,3.0,3.0,6.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,99900061.0
32.0,2343.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,99900062.0
17.0,1757.0,0.0,0.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,99900063.0
43.0,449.0,0.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,99900064.0
44.0,2159.0,0.0,0.0,5.0,6.0,5.0,5.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,3.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,99900065.0
48.0,547.0,18.0,30.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,99900066.0
19.0,1689.0,0.0,3.0,2.0,5.0,1.0,2.0,4.0,1.0,3.0,4.0,6.0,4.0,6.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,99900067.0
25.0,4048.0,17.0,19.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,99900068.0
66.0,1134.0,0.0,0.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,99900069.0
70.0,2581.0,0.0,0.0,3.0,6.0,6.0,6.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,99900070.0
10.0,2337.0,7.0,8.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,99900071.0
58.0,2320.0,0.0,0.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,99900072.0
41.0,2916.0,0.0,0.0,4.0,4.0,4.0,4.0,6.0,2.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,99900073.0
47.0,1522.0,2.0,0.0,3.0,3.0,4.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,99900074.0
28.0,2333.0,1.0,0.0,6.0,6.0,6.0,2.0,3.0,6.0,3.0,3.0,6.0,5.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,99900075.0
52.0,1057.0,0.0,0.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,99900076.0
47.0,2045.0,0.0,0.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,99900077.0
37.0,3151.0,0.0,10.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,99900078.0
23.0,1437.0,17.0,0.0,2.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,6.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,99900079.0
22.0,1794.0,18.0,6.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,99900080.0
41.0,508.0,47.0,42.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,99900081.0
11.0,2924.0,327.0,303.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,99900082.0
18.0,2063.0,24.0,33.0,3.0,6.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,99900083.0
26.0,1842.0,0.0,0.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,99900084.0
36.0,2013.0,0.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,99900085.0
52.0,2165.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,99900086.0
54.0,2510.0,6.0,13.0,3.0,6.0,2.0,4.0,5.0,2.0,5.0,5.0,6.0,3.0,5.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,99900087.0
27.0,1697.0,17.0,27.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,99900088.0
46.0,613.0,42.0,30.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,99900089.0
46.0,2198.0,0.0,0.0,2.0,5.0,2.0,2.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,3.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,99900090.0
68.0,2519.0,15.0,20.0,2.0,5.0,1.0,4.0,4.0,1.0,4.0,4.0,6.0,3.0,6.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,99900091.0
15.0,1925.0,7.0,4.0,5.0,6.0,5.0,3.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,4.0,5.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,99900092.0
15.0,1700.0,15.0,14.0,5.0,6.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,99900093.0
33.0,2143.0,6.0,0.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,99900094.0
28.0,1556.0,0.0,0.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,99900095.0
28.0,2640.0,134.0,133.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,99900096.0
42.0,1777.0,16.0,17.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,6.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,99900097.0
38.0,2395.0,41.0,36.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,2.0,4.0,4.0,6.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,99900098.0
37.0,3272.0,45.0,16.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,99900099.0
43.0,1195.0,0.0,0.0,2.0,5.0,2.0,5.0,3.0,2.0,6.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,99900100.0
45.0,3189.0,40.0,68.0,2.0,2.0,2.0,2.0,3.0,6.0,2.0,6.0,6.0,6.0,6.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,99900101.0
33.0,1876.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,6.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,99900102.0
40.0,1628.0,4.0,7.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,99900103.0
43.0,1633.0,0.0,1.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,99900104.0
51.0,3826.0,9.0,11.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,99900105.0
26.0,1711.0,0.0,0.0,4.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,99900106.0
35.0,2234.0,0.0,0.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,99900107.0
53.0,2581.0,0.0,0.0,6.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,3.0,4.0,5.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,99900108.0
47.0,3735.0,6.0,5.0,1.0,5.0,1.0,5.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,99900109.0
63.0,1245.0,18.0,0.0,6.0,6.0,6.0,6.0,3.0,2.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,99900110.0
48.0,952.0,11.0,2.0,6.0,5.0,6.0,2.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,99900111.0
48.0,3863.0,0.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,99900112.0
45.0,262.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,99900113.0
57.0,3421.0,93.0,80.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,6.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,99900114.0
30.0,3291.0,0.0,0.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,99900115.0
30.0,3305.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,99900116.0
41.0,1469.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,99900117.0
25.0,3466.0,12.0,0.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,3.0,4.0,4.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,99900118.0
40.0,2088.0,2.0,0.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,99900119.0
20.0,1474.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,99900120.0
27.0,1830.0,0.0,0.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,3.0,6.0,5.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,99900121.0
10.0,1280.0,21.0,19.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,99900122.0
57.0,3292.0,0.0,0.0,6.0,6.0,5.0,6.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,99900123.0
31.0,5069.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,99900124.0
57.0,1745.0,0.0,4.0,4.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,99900125.0
50.0,2215.0,18.0,24.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,99900126.0
7.0,1667.0,21.0,25.0,2.0,6.0,2.0,5.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,99900127.0
27.0,1959.0,15.0,0.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,5.0,6.0,4.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,99900128.0
69.0,1643.0,50.0,34.0,3.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,99900129.0
32.0,1868.0,0.0,0.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,99900130.0
39.0,1656.0,9.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,99900131.0
